identity/LineItemId,identity/TimeInterval,lineItem/UsageStartDate,lineItem/UsageEndDate,lineItem/ProductCode,lineItem/UsageType,lineItem/Operation,lineItem/UsageAmount,lineItem/UnblendedCost,lineItem/BlendedCost,lineItem/LineItemType,product/region,resourceTags/user:Service,resourceTags/user:Team,resourceTags/user:Env
052873dd-ed6e-d2c1-5564-5116a89af689,2026-02-17T00:00:00Z/2026-02-18T00:00:00Z,2026-02-17T00:00:00Z,2026-02-18T00:00:00Z,AmazonEC2,Other,RunInstances,9.7395,2.11214,2.019123,Usage,us-east-1,,,prod
e4d82736-7d1a-6d66-2442-c366b3745f3b,2026-02-17T00:00:00Z/2026-02-18T00:00:00Z,2026-02-17T00:00:00Z,2026-02-18T00:00:00Z,AmazonEC2,Other,RunInstances,7.9537,2.361408,2.357474,Usage,us-east-1,,,prod
b1781680-cce4-3d84-3e1e-a053add692b7,2026-02-17T00:00:00Z/2026-02-18T00:00:00Z,2026-02-17T00:00:00Z,2026-02-18T00:00:00Z,AmazonEC2,Other,RunInstances,1.3603,2.456904,2.531967,Usage,us-east-1,,,prod
aa255c8d-f708-658e-d3c3-4a627864694a,2026-02-17T00:00:00Z/2026-02-18T00:00:00Z,2026-02-17T00:00:00Z,2026-02-18T00:00:00Z,AmazonEC2,Other,RunInstances,18.0461,48.403861,48.680968,Usage,us-east-1,,,prod
dc048cb8-153e-43d6-1784-ef496acd4475,2026-02-18T00:00:00Z/2026-02-19T00:00:00Z,2026-02-18T00:00:00Z,2026-02-19T00:00:00Z,AmazonEC2,Other,RunInstances,13.1827,2.2603,2.15207,Usage,us-east-1,,,prod
e0135e99-d264-8916-9f7c-615f9f0e468d,2026-02-18T00:00:00Z/2026-02-19T00:00:00Z,2026-02-18T00:00:00Z,2026-02-19T00:00:00Z,AmazonEC2,Other,RunInstances,20.7775,2.526844,2.643391,Usage,us-east-1,,,prod
f5c8159d-94af-5be4-b941-9c1ae2b82737,2026-02-18T00:00:00Z/2026-02-19T00:00:00Z,2026-02-18T00:00:00Z,2026-02-19T00:00:00Z,AmazonEC2,Other,RunInstances,1.1132,2.255557,2.211916,Usage,us-east-1,,,prod
c2f68ba9-d16a-1f8e-8daa-afef979cfa51,2026-02-18T00:00:00Z/2026-02-19T00:00:00Z,2026-02-18T00:00:00Z,2026-02-19T00:00:00Z,AmazonEC2,Other,RunInstances,4.5433,41.538699,40.836598,Usage,us-east-1,,,prod
16c682db-9082-b12e-825c-34b6c2191855,2026-02-19T00:00:00Z/2026-02-20T00:00:00Z,2026-02-19T00:00:00Z,2026-02-20T00:00:00Z,AmazonEC2,Other,RunInstances,7.0175,2.113663,2.164946,Usage,us-east-1,,,prod
6be51042-7667-da37-2c8e-af83f881684c,2026-02-19T00:00:00Z/2026-02-20T00:00:00Z,2026-02-19T00:00:00Z,2026-02-20T00:00:00Z,AmazonEC2,Other,RunInstances,2.013,2.362704,2.30775,Usage,us-east-1,,,prod
353b7c17-a1e6-8f35-8020-fecb945debb7,2026-02-19T00:00:00Z/2026-02-20T00:00:00Z,2026-02-19T00:00:00Z,2026-02-20T00:00:00Z,AmazonEC2,Other,RunInstances,6.5368,2.322795,2.249037,Usage,us-east-1,,,prod
c28929e9-2ee7-13d4-0692-590fa8c81105,2026-02-19T00:00:00Z/2026-02-20T00:00:00Z,2026-02-19T00:00:00Z,2026-02-20T00:00:00Z,AmazonEC2,Other,RunInstances,1.1185,40.279905,38.554515,Usage,us-east-1,,,prod
e8951c79-e73b-90ab-d875-66eda4eee4a2,2026-02-20T00:00:00Z/2026-02-21T00:00:00Z,2026-02-20T00:00:00Z,2026-02-21T00:00:00Z,AmazonEC2,Other,RunInstances,19.1431,2.500512,2.4267,Usage,us-east-1,,,prod
8f991965-09a0-72a6-c030-26ed9f3fcf96,2026-02-20T00:00:00Z/2026-02-21T00:00:00Z,2026-02-20T00:00:00Z,2026-02-21T00:00:00Z,AmazonEC2,Other,RunInstances,9.83,2.140359,2.212098,Usage,us-east-1,,,prod
0434e565-825d-5936-57d1-eb1745deb996,2026-02-20T00:00:00Z/2026-02-21T00:00:00Z,2026-02-20T00:00:00Z,2026-02-21T00:00:00Z,AmazonEC2,Other,RunInstances,17.9831,1.932788,1.991406,Usage,us-east-1,,,prod
04090ab8-5257-0685-a750-643581ccd1c0,2026-02-20T00:00:00Z/2026-02-21T00:00:00Z,2026-02-20T00:00:00Z,2026-02-21T00:00:00Z,AmazonEC2,Other,RunInstances,6.6734,43.144854,43.691106,Usage,us-east-1,,,prod
d61cd6ee-ca2e-54e5-df5d-98a0f69a54ee,2026-02-21T00:00:00Z/2026-02-22T00:00:00Z,2026-02-21T00:00:00Z,2026-02-22T00:00:00Z,AmazonEC2,Other,RunInstances,1.3451,2.539796,2.4518,Usage,us-east-1,,,prod
f1092d54-b255-4778-c3a0-3978bffc2929,2026-02-21T00:00:00Z/2026-02-22T00:00:00Z,2026-02-21T00:00:00Z,2026-02-22T00:00:00Z,AmazonEC2,Other,RunInstances,16.9662,2.450939,2.399559,Usage,us-east-1,,,prod
ccc07d1a-63fc-41c9-d1fa-5b9dcae0d9ba,2026-02-21T00:00:00Z/2026-02-22T00:00:00Z,2026-02-21T00:00:00Z,2026-02-22T00:00:00Z,AmazonEC2,Other,RunInstances,13.172,1.991769,2.065437,Usage,us-east-1,,,prod
d555118f-d35d-be22-419e-05d8b9813920,2026-02-21T00:00:00Z/2026-02-22T00:00:00Z,2026-02-21T00:00:00Z,2026-02-22T00:00:00Z,AmazonEC2,Other,RunInstances,13.9919,49.079386,51.401858,Usage,us-east-1,,,prod
93f0c3d5-2042-5f6e-6c34-acb331eba443,2026-02-22T00:00:00Z/2026-02-23T00:00:00Z,2026-02-22T00:00:00Z,2026-02-23T00:00:00Z,AmazonEC2,Other,RunInstances,10.416,2.344624,2.2929,Usage,us-east-1,,,prod
5b62a7f2-44a3-c9c5-71ef-6859c9e41165,2026-02-22T00:00:00Z/2026-02-23T00:00:00Z,2026-02-22T00:00:00Z,2026-02-23T00:00:00Z,AmazonEC2,Other,RunInstances,10.1733,2.177587,2.146095,Usage,us-east-1,,,prod
